also also
show show
me me
the the
first B-flight_mod
flight flight
from from
atlanta B-fromloc.city_name
to to
denver B-toloc.city_name
on on
a a
thursday B-depart_date.day_name

what what
flights flights
from from
las B-fromloc.city_name
vegas I-fromloc.city_name
to to
phoenix B-toloc.city_name
on on
saturday B-depart_date.day_name

what what
is is
the the
latest B-flight_mod
flight flight
on on
wednesday B-depart_date.day_name
going going
from from
atlanta B-fromloc.city_name
to to
washington B-toloc.city_name
dc B-toloc.state_code

what what
does does
fare fare
code code
qo B-fare_basis_code
mean mean

i i
need need
a a
flight flight
from from
san B-fromloc.city_name
francisco I-fromloc.city_name
to to
pittsburgh B-toloc.city_name
and and
then then
pittsburgh B-fromloc.city_name
to to
new B-toloc.city_name
york I-toloc.city_name
and and
new B-fromloc.city_name
york I-fromloc.city_name
to to
san B-toloc.city_name
francisco I-toloc.city_name

i i
want want
to to
go go
between between
boston B-fromloc.city_name
and and
san B-toloc.city_name
francisco I-toloc.city_name

flights flights
from from
kansas B-fromloc.city_name
city I-fromloc.city_name
to to
cleveland B-toloc.city_name

show show
me me
flights flights
from from
pittsburgh B-fromloc.city_name
to to
atlanta B-toloc.city_name
on on
monday B-depart_date.day_name
afternoon B-depart_time.period_of_day

list list
the the
delta B-airline_name
airlines I-airline_name
flights flights
from from
boston B-fromloc.city_name
to to
philadelphia B-toloc.city_name

list list
daily B-flight_days
flights flights
from from
boston B-fromloc.city_name
to to
oakland B-toloc.city_name
using using
twa B-airline_code

show show
me me
round B-round_trip
trip I-round_trip
fares fares
from from
san B-fromloc.city_name
jose I-fromloc.city_name
to to
salt B-toloc.city_name
lake I-toloc.city_name
city I-toloc.city_name

give give
me me
all all
the the
flights flights
from from
new B-fromloc.city_name
york I-fromloc.city_name
to to
miami B-toloc.city_name
round B-round_trip
trip I-round_trip
with with
costs costs
less B-cost_relative
than than
number B-fare_amount
dollars I-fare_amount

does does
united B-airline_name
airline I-airline_name
have have
any any
flights flights
from from
dallas B-fromloc.city_name
to to
san B-toloc.city_name
francisco I-toloc.city_name

what what
flights flights
leave leave
chicago B-fromloc.city_name
and and
arrive arrive
in in
detroit B-toloc.city_name
around B-arrive_time.time_relative
number B-arrive_time.time
pm I-arrive_time.time
next B-arrive_date.date_relative
tuesday B-arrive_date.day_name

ground ground
transportation transportation
denver B-city_name

could could
you you
tell tell
me me
about about
flights flights
from from
philadelphia B-fromloc.city_name
to to
dallas B-toloc.city_name
the the
flights flights
should should
leave leave
philadelphia B-fromloc.city_name
in in
the the
morning B-depart_time.period_of_day

show show
flights flights
from from
san B-fromloc.city_name
francisco I-fromloc.city_name
to to
denver B-toloc.city_name
on on
wednesday B-depart_date.day_name
and and
thursday B-depart_date.day_name

list list
flights flights
from from
pittsburgh B-fromloc.city_name
to to
boston B-toloc.city_name
leaving leaving
after B-depart_time.time_relative
number B-depart_time.time
in in
the the
afternoon B-depart_time.period_of_day

what what
is is
the the
earliest B-flight_mod
flight flight
departing departing
san B-fromloc.city_name
francisco I-fromloc.city_name
and and
arriving arriving
in in
oakland B-toloc.city_name
on on
november B-arrive_date.month_name
eighth B-arrive_date.day_number

what what
flights flights
go go
from from
boston B-fromloc.city_name
to to
atlanta B-toloc.city_name
next B-depart_date.date_relative
tuesday B-depart_date.day_name

what what
flights flights
from from
atlanta B-fromloc.city_name
to to
st. B-toloc.city_name
louis I-toloc.city_name
on on
tuesday B-depart_date.day_name
arriving arriving
around B-arrive_time.time_relative
number B-arrive_time.time
pm I-arrive_time.time

what what
are are
the the
cheapest B-cost_relative
one B-round_trip
way I-round_trip
flights flights
from from
atlanta B-fromloc.city_name
to to
pittsburgh B-toloc.city_name

i i
want want
to to
travel travel
from from
philadelphia B-fromloc.city_name
to to
boston B-toloc.city_name
on on
wednesday B-depart_date.day_name
afternoon B-depart_time.period_of_day

list list
all all
the the
flights flights
that that
depart depart
from from
general B-fromloc.airport_name
mitchell I-fromloc.airport_name
international I-fromloc.airport_name

chicago B-fromloc.city_name
to to
san B-toloc.city_name
francisco I-toloc.city_name
on on
continental B-airline_name

show show
flights flights
from from
denver B-fromloc.city_name
into into
san B-toloc.city_name
francisco I-toloc.city_name

what what
are are
all all
flights flights
from from
denver B-fromloc.city_name
to to
philadelphia B-toloc.city_name
on on
saturday B-depart_date.day_name

american B-airline_name
flights flights
from from
san B-fromloc.city_name
francisco I-fromloc.city_name
please please

san B-fromloc.city_name
francisco I-fromloc.city_name
to to
pittsburgh B-toloc.city_name
friday B-depart_date.day_name

find find
a a
flight flight
from from
long B-fromloc.city_name
beach I-fromloc.city_name
to to
st. B-toloc.city_name
louis I-toloc.city_name
stopping stopping
in in
dallas B-stoploc.city_name

all all
flights flights
from from
boston B-fromloc.city_name
to to
washington B-toloc.city_name
dc B-toloc.state_code

what what
is is
the the
fare fare
on on
november B-depart_date.month_name
seventh B-depart_date.day_number
going going
one B-round_trip
way I-round_trip
from from
pittsburgh B-fromloc.city_name
to to
philadelphia B-toloc.city_name

flights flights
from from
pittsburgh B-fromloc.city_name
to to
baltimore B-toloc.city_name
between between
number B-depart_time.start_time
am I-depart_time.start_time
and and
number B-depart_time.end_time
pm I-depart_time.end_time

for for
each each
airline airline
flying flying
between between
boston B-fromloc.city_name
and and
san B-toloc.city_name
francisco I-toloc.city_name
what what
is is
the the
earliest B-flight_mod
flight flight

what what
is is
the the
latest B-flight_mod
return return
flight flight
from from
atlanta B-fromloc.city_name
to to
boston B-toloc.city_name

looking looking
for for
a a
flight flight
to to
salt B-toloc.city_name
lake I-toloc.city_name
city I-toloc.city_name

okay okay
i i
'd 'd
like like
a a
flight flight
on on
us B-airline_name
air I-airline_name
from from
indianapolis B-fromloc.city_name
to to
san B-toloc.city_name
diego I-toloc.city_name
in in
the the
afternoon B-depart_time.period_of_day
what what
's 's
available available

i i
need need
a a
thursday B-depart_date.day_name
flight flight
from from
pittsburgh B-fromloc.city_name
to to
baltimore B-toloc.city_name
arriving arriving
in in
baltimore B-toloc.city_name
before B-arrive_time.time_relative
number B-arrive_time.time
o'clock I-arrive_time.time

show show
me me
the the
last B-flight_mod
flight flight
from from
denver B-fromloc.city_name
to to
boston B-toloc.city_name

please please
find find
me me
a a
flight flight
between between
boston B-fromloc.city_name
and and
philadelphia B-toloc.city_name
that that
arrives arrives
in in
philadelphia B-toloc.city_name
close B-arrive_time.time_relative
to to
number B-arrive_time.time
pm I-arrive_time.time

give give
me me
a a
flight flight
from from
charlotte B-fromloc.city_name
to to
baltimore B-toloc.city_name
